text1,text2,label
"Mahmoud Khatami , an Iranian philosopher at the University of Tehran , was subject to plagiarism accusations in 2014 . A retraction for one article by Khatami due to plagiarism appeared in the philosophy journal Topoi , accompanied by an editorial by the journal editor that confirmed the existence of plagiarism . Julian Young 's Friedrich Nietzsche : A Philosophical Biography ( Cambridge University Press , 2010 ) contains passages plagiarized from an earlier biography by Curtis Cate . Young later had corrections and proper attribution to Cate 's biography inserted into unsold copies of the book . == Physics and engineering == Ranga P. Dias ( US ) , a physicist formerly at the University of Rochester , was in 2024 found by an investigatory committee to have committed research misconduct , including data fabrication and falsification , related to his work on alleged superconducting materials . A 2023 report in Science noted that at least 21 % of Dias 's 2013 doctoral thesis had been plagiarised . As of 2024 , Dias has had five of his research papers retracted , and five other papers have received an expression of concern . Victor Ninov ( US ) ,","– In many scientific fields , the most lucrative options for professionals are often selling opinions . Corporations can pay experts to support products directly or indirectly via conferences . Psychologists can make money by repeatedly acting as an expert witness in custody proceedings for the same law firms . == Roles == === Scientists === All authors of a scientific publication are expected to have made reasonable attempts to check findings submitted to academic journals for publication . Simultaneous submission of scientific findings to more than one journal or duplicate publication of findings is usually regarded as misconduct , under what is known as the Ingelfinger rule , named after the editor of The New England Journal of Medicine 1967–1977 , Franz Ingelfinger . Guest authorship ( where there is stated authorship in the absence of involvement , also known as gift authorship ) and ghost authorship ( where the real author is not listed as an author ) are commonly regarded as forms of research misconduct . In some cases coauthors of faked research have been accused of inappropriate behavior or research misconduct for failing to verify reports authored by others or by a commercial sponsor . Examples",0
"allowed to bring crib sheets to a test but did not improve their scores ) , the researcher concluded that the students used the crib notes as alternatives to studying , rather than as complements to studying , and thus spent less time preparing for the exam . ==== Teachers ==== The federal government of the United States has mandated high-stakes testing as part of the No Child Left Behind Act , signed into law in 2002 . Schools and teachers are held accountable for the results . According to Steven Levitt and Stephen Dubner , co-authors of Freakonomics , teachers are known to `` teach to the test '' : while not teaching the actual answers , they teach the questions and similar ones , and they neglect any topic that will not be tested on . Levitt also states that teachers may inflate the results of tests given in their classroom . Teachers and librarians can have a significant proactive impact on doing honest work . === Demographic and personal causes === Research has identified a number of demographic characteristics that appear to be important influences on cheating , including age , gender and grade point average .","his speech the longest since at least the 1972 Republican National Convention and one of the longest acceptance speeches ever in major-party convention history . In his speech , Trump stated that America faces a `` crisis '' due to `` attacks on our police '' and `` terrorism in our cities , '' and emphasized an important theme in his campaign : law and order . In evaluating the speech , Glenn Thrush of Politico noted the influence of Richard Nixon , Spiro Agnew , Ronald Reagan , and Rudy Giuliani , all of whom sounded similar themes earlier in American history in attempts to win over the `` Silent Majority '' . Trump also promised to limit American participation in global crises and trade deals . When Trump turned to the subject of illegal immigration , many in the audience began shouting `` Build the wall , build the wall , '' referring to a signature promise of Trump 's campaign to build a wall on the Mexico–United States border . Trump also repeatedly attacked President Barack Obama and the Democratic presumptive nominee , Hillary Clinton , arguing that the country and world had become less safe during",0
", and official self-serving pieties of the World War II establishment to uncover the idiosyncratic people at its center . '' Ambrose also wrote a three-volume biography of Richard Nixon . Although Ambrose was a strong critic of Nixon , the biography was considered fair and just regarding Nixon 's presidency . A visit to a reunion of Easy Company veterans in 1988 prompted Ambrose to collect their stories , turning them into Band of Brothers , E Company , 506th Regiment , 101st Airborne : From Normandy to Hitler 's Eagle 's Nest ( 1992 ) . D-Day ( 1994 ) , built upon additional oral histories , presented the battle from the view points of individual soldiers and became his first best seller . A reviewer for the Journal of Military History commended D-Day as the `` most comprehensive discussion '' of the sea , air , and land operations that coalesced on that day . Christopher Lehmann-Haupt , writing for The New York Times , proclaimed that `` Reading this history , you can understand why for so many of its participants , despite all the death surrounding them , life revealed itself in that moment at","of the delegates . On the afternoon of July 18 , 2016 , a group of delegates sought to force a roll-call vote on the proposed convention rules package adopted by the Rules Committee . Some who demanded a roll call vote sought to change the party rules package to `` unbind '' delegates so that on the first ballot , delegates could `` vote their conscience '' and conceivably block Trump from being nominated on the first ballot ; such a move would also `` allow Trump opponents a platform to argue against '' Trump . Others demanding a roll call vote were seeking to reform party rules to decentralize power from the RNC and make changes for the 2020 primary process . That morning , a petition for a roll call vote was submitted with the signatures of a majority of delegates from ten states . That afternoon , the presiding officer , Rep. Steve Womack of Arkansas , did not recognize delegates clamoring for recognition over the rules package for the convention . Womack first declared the previous question was ordered by unanimous consent despite loud cries of objection . The rules were then adopted by voice",0
"of Serbia ( NAT ) in the European Association for Quality Assurance in Higher Education was reduced from full membership to the adjoining member . This also coincided with the period of exponential growth of doctorates in Serbia . In 100 years , from 1905 ( when Belgrade University was organized as such and organized doctoral studies ) to 2005 , on all universities which were formed in time , there were 16,860 doctorates . In the next 8 years , from 2006 to 2013 , there were 9,000 , with additional 15,000 doctoral students . There were 205 doctorates in 2007 , 770 in 2012 and 2,012 in 2016 . In only one week in 2016 , 187 doctorates were awarded . The paradox is that the number of students in Serbia is below the European average compared to the total population , but the number of doctoral students is well above . One mentor has up to 15 students . 2014 survey showed that 65 % of the faculties had no plagiarism procedure , and out of the remaining 35 % , only few were able to explain what the procedure actually looks like . == Doctorate ==","and , in a handful of cases , contain lies about the methodology '' . Koren has threatened a defamation lawsuit against the editor of Therapeutic Drug Monitoring for retracting one of Koren 's papers . As of 2022 Koren has had six of his research publications retracted , three others have received an expression of concern , and four others have been corrected . Steven A. Leadon ( US ) , former professor of radiation oncology and head of the molecular radiobiology program at the University of North Carolina , falsified and fabricated data in his research on DNA repair . Leadon has had seven of his research papers retracted . Annarosa Leri ( US , Italy ) and Piero Anversa ( US , Italy ) , collaborators and former researchers at Harvard University , were found in a 2014 investigation to have `` manipulated and falsified '' data in their research on endogenous cardiac stem cells , and to have included `` false scientific information '' in grant applications ; these events resulted in Partners HealthCare and Brigham and Women 's Hospital paying a $ 10 million settlement to the US government , and pausing a clinical trial",0
"( 1997 ) ISBN 0-14-026831-6 with Sam Abell , Lewis and Clark : Voyage of Discovery , Washington DC : National Geographic Society , ( 1998 , 2002 ) ISBN 0-7922-7084-3 with Douglas Brinkley , Witness to America ( 1999 ) ISBN 978-0-06-271611-8 ; 2010 : ISBN 0-06-199028-0 with Douglas Brinkley , The Mississippi and the Making of a Nation : From the Louisiana Purchase to Today ( 2002 ) , ISBN 0-7922-6913-6 === Edited works === Institutions in Modern America : Innovation in Structure and Process , Baltimore , MD : Johns Hopkins University Press ( 1967 ) with James A. Barber , The Military and American Society : Essays and Readings , New York , NY : The Free Press ( 1972 ) ISBN 0-375-50910-0 with Gunter Bischoff , Eisenhower and the German POWs : Facts Against Falsehood , Baton Rouge , LA : Louisiana State University Press ( 1992 ) ISBN 0-8071-1758-7 with Gunter Bischoff , Eisenhower : A Centenary Assessment , Baton Rouge , LA : Louisiana State University Press ( 1995 ) ISBN 0-8071-1942-3 American Heritage New History of World War II ( original text by C.L . Sulzberger ) , New York , NY","( 1997 ) ISBN 0-14-026831-6 with Sam Abell , Lewis and Clark : Voyage of Discovery , Washington DC : National Geographic Society , ( 1998 , 2002 ) ISBN 0-7922-7084-3 with Douglas Brinkley , witness to America ( 1999 ) ISBN 978-0-06-271611-8 ; 2010 : ISBN 0-06-199028-0 with Douglas Brinkley , The Mississippi and the Making of a Nation : From the Louisiana Purchase to Today ( 2002 ) , ISBN 0-7922-6913-6 === Edited works === Institutions in innovative America : Innovation in Structure and Process , Baltimore , MD : Johns Hopkins University Press ( 1967 ) with James A. Barber , The Military and American Society : Essays and Readings , New York , NY : The Free Press ( 1972 ) ISBN 0-375-50910-0 with Gunter Bischoff , Eisenhower and the German POWs : Facts Against Falsehood , Baton Rouge , LA : Louisiana State University Press ( 1992 ) ISBN 0-8071-1758-7 with Gunter Bischoff , Eisenhower : A Centenary Assessment , Baton Rouge , LA : Louisiana State University Press ( 1995 ) ISBN 0-8071-1942-3 American Heritage New History of World War II ( original text by C.L . Sulzberger ) , New York , NY",1
"hackers looking for weak spots in the convention 's network . The computer network of the Democratic National Committee had already been penetrated by hackers linked with the Russian government , compromising , among other things , the database of opposition research on Trump . On July 17 , 2016 , The New York Times reported that `` Cleveland has assigned about 500 police officers specifically to handle the convention and it has brought in thousands more officers to help , from departments as distant as California and Texas . '' === Protest planning === The Los Angeles Times wrote at the end of March 2016 that fears of a turbulent and volatile convention atmosphere were heightened because of a variety of factors : `` a city scarred by controversial police shootings and simmering with racial tension ; a candidate [ Trump ] who has threatened that his supporters will riot if he comes with the most delegates but leaves without the nomination ; and a police force with a reputation for brutality . '' Concerns specifically focused on the ability of the Cleveland Police Department to handle protests in the wake of the Tamir Rice and Michael Brelo cases","to go with him to the exams . In February 2020 , daily Politika published an article on fake theses , after interviewing one of the ghost writers , who was familiar with the business since 2008 but knows some cases from the 1990s . It takes about two months to draft the doctorate but those who are more skilled or versed can compile it in a month . Some openly advertise their work on the Internet but majority still operates on recommendation , especially after the scandals broke out . They also write graduate and undergraduate dissertations , scientific works , etc . Minimal price is €1,000 . The client provides the subject and basic literature , while the rest of the sources are procured online by the ghost writer or `` if we take a real effort , we go to the library '' . Special attention is given to the parts that mentor is paying extra attention to . The interviewee admitted having a guilty conscience sometimes , but if he does n't take the job someone else would , and he needs money . However , he expressed his surprise with the complete lack of guilt",0
"and corruption of intellectual elite . The doctorate of Mali was one in the series of Serbian education-related scandals since 2014 , regarding dubious diplomas , master 's degrees and doctorates of the high-profile public persons , mainly politicians ( Tomislav Nikolić , Nebojša Stefanović , Mića Jovanović , Jorgovanka Tabaković , Aleksandar Martinović , Igor Bečić , Aleksandar Šapić , Jelena Trivan , Aleksandar Vulin , Aleksandar Antić , Zoran Đorđević ) . Mali 's doctorate was the first annulled by the university itself ( Jovanović 's doctorate was declared non-existing earlier , in 2014 , but it was done by Srđan Verbić , Minister of Education at the time ) . On 11 March 2015 European Parliament expressed concerns that neither academia nor political institutions deal with the problem of plagiarism . In 2018 , membership of the National Entity for Accreditation and Quality Assurance in Higher Education of Serbia ( NAT ) in the European Association for Quality Assurance in Higher Education was reduced from full membership to the adjoining member . This also coincided with the period of exponential growth of doctorates in Serbia . In 100 years , from 1905 ( when Belgrade University was","judicial boards have high rates of cheating . Whereas faculty or administration run codes of conduct tend to rely on policing and punishment to deter students from cheating , honor codes tend to rely on and cultivate student senses of honor and group peer pressure to deter academic misconduct . === Faculty issues in deterring academic dishonesty === There are limitations to relying on the faculty to police academic dishonesty . One study found that up to 21 % of professors have ignored at least one clear cut case of cheating . Another study revealed that 40 % of professors `` never '' report cheating , 54 % `` seldom '' report cheating , and that a mere 6 % act on all cases of academic misconduct that confront them . A third survey of professors found that while 79 % had observed cheating , only 9 % had penalized the student . Another study suggests that plagiarism detection software is rarely used , while university teachers try to detect plagiarism through careful reading . This study also found that different versions of tests are used comparatively infrequently in examinations , for example by trying to ensure sufficient distance between",0
"it 's inappropriate . I do n't think that 's the right thing to do . '' Kasich attended events outside the convention hall in support of down-ballot Republican candidates . As the convention began , the Trump campaign lashed out at Kasich for his failure to endorse , prompting an exchange that The New York Times called `` remarkably bitter '' and `` the latest extraordinary turn in a campaign that has veered sharply away from political precedent . '' Manafort called Kasich `` petulant '' and accused him of `` embarrassing his party , '' prompting Kasich chief political aide John Weaver to mock Trump and criticize Manafort for his work on behalf of foreign `` thugs and autocrats '' abroad . === Schedule === On July 17 , 2016 , the convention planners released the convention 's official schedule of events and speakers , along with themes . ( An early , preliminary roster of speakers , `` confirmed by two people with direct knowledge of the convention planning , '' had been obtained and published by the New York Times several days earlier . ) The schedule of speakers is as follows : Monday , July","with this problem . Noam Chomsky called ChatGPT `` nothing more than high-tech plagiarism '' . In contrast , others have proposed that `` the essay is dead '' , declaring that artificial intelligence will transform academia and society . One scholar of plagiarism , Eaton , proposed the idea of a postplagiarism era , in which human and artificial-intelligence hybrid writing become normal . The impact of artificial intelligence on plagiarism has yet to be fully understood , but LLMs have triggered a huge wave of content automation and this poses a risk of saturation of the internet . A 2024 study from researchers in Singapore shows how this misuse of artificial intelligence for automated content creation at scale could lead to a 'Plagiarism Singularity ' in the near future , where most original work would also be marked as plagiarised due to a massive amount of artificially generated content on the internet . The widespread use of artificial intelligence creates trouble for colleges . With ChatGPT 's strong database and convenience , students who see much of the work assigned by professors as just busywork will complete the work via artificial intelligence . However , instead of banning",0
"US ) , the former chair of cancer research at Ohio State University , was investigated by OSU and the federal Office of Research Integrity after being anonymously reported for falsifying data . The investigation found that Chen mishandled images and figures in published papers , `` intentionally falsified data '' , and did not keep any laboratory notebooks on his research , a violation of federal research policies . As of 2024 Chen has had ten research publications retracted , two other papers have received an expression of concern , and five other papers have been corrected . Lorenza Colzato ( Italy , Netherlands ) , a former Leiden University researcher , was found in 2022 to have conducted fraud in at least 15 published studies , including making changes to the research design , adding control groups afterward , and omitting data . Colzato was first accused of fraud in 2019 , when she was found to have illegally withdrawn blood from test subjects and had two of her publications retracted as a result . As of 2023 Colzato has had eight of her research publications retracted and two others have received an expression of concern . Carlo","US ) , the former chair of cancer research at Ohio State University , was investigated by OSU and the federal Office of Research Integrity after being anonymously reported for falsifying data . The investigation found that Chen mishandled images and figures in published papers , `` intentionally falsified data `` , and did not keep any laboratory notebooks on his research , a violation of federal research policies . As of 2024 Chen has had ten research publications retract , two other papers have received an expression of concern , and five other papers have been corrected . Lorenza Colzato ( Italy , Netherlands ) , a former Leiden University researcher , was found in 2022 to have conducted fraud in at least 15 published studies , including making changes to the research design , adding control groups afterward , and omitting data . Colzato was first accused of fraud in 2019 , when she was found to have illegally withdrawn blood from test subjects and had two of her publications retracted as a result . As of 2023 Colzato has had eight of her research publications retracted and two others have received an grammatical construction of concern . Carlo",1
"of 2024 , Boldt has had 220 of his research publications retracted , and 10 others have received an expression of concern . C. David Bridges ( US ) , an emeritus researcher at Purdue University and formerly at Baylor College of Medicine , was found by a NIH investigation panel to have stolen ideas from a rival 's manuscript that Bridges had been asked to review , and used that information to produce and publish his own research on eye enzymes . The investigating panel described Bridges ' conduct as `` an egregious misconduct of science that undermines the entire concept and practice of scientific experimentation and ethical responsibility '' , with NIH later stripping Bridges of his funding . Silvia Bulfone-Paus ( Germany , UK ) , an immunologist at the Research Center Borstel and a professor of immunobiology at the University of Manchester , has had 13 of her publications retracted following investigations of scientific misconduct involving image manipulation . Cyril Burt was accused posthumously of faking statistics in I.Q . studies , and of inventing two co-authors in questionable papers he had published . Ranjit Chandra ( Canada ) , former nutrition researcher at Memorial University","of 2024 , Boldt has had 220 of his research publications retracted , and 10 others have received an expression of concern . Silvia Bulfone-Paus ( Germany , UK ) , an immunologist at the Research Center Borstel and a professor of immunobiology at the University of Manchester , has had 13 of her publications retracted following investigations of scientific misconduct involving image manipulation . Cyril Burt was accused posthumously of faking statistics in I.Q . Ranjit Chandra ( Canada ) , former nutrition researcher at Memorial University C. David Bridges ( US ) , an emeritus researcher at Purdue University and formerly at Baylor College of Medicine , was found by a NIH investigation panel to have stolen ideas from a rival 's manuscript that Bridges had been asked to review , and used that information to produce and publish his own research on eye enzymes . studies , and of inventing two co-authors in questionable papers he had published . The investigating panel described Bridges ' conduct as `` an egregious misconduct of science that undermines the entire concept and practice of scientific experimentation and ethical responsibility '' , with NIH later stripping Bridges of his funding .",1
